epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5844.84,0.54797,0.30751,0.91189,0.99945,0.99071,0.995,0.91152,0.44419,0.23331,0.84658,0.0005941,0.0005941,0.0005941
43,5988.51,0.55008,0.30544,0.91642,0.99894,0.99071,0.995,0.90838,0.44711,0.23184,0.84731,0.0005842,0.0005842,0.0005842
44,6133.52,0.54817,0.30509,0.91612,0.99987,0.98762,0.99497,0.90742,0.4504,0.23005,0.84667,0.0005743,0.0005743,0.0005743
45,6282.78,0.54912,0.29812,0.91167,1,0.98381,0.99467,0.90932,0.44601,0.24082,0.84527,0.0005644,0.0005644,0.0005644
46,6431.86,0.54776,0.30249,0.91451,0.99939,0.98762,0.99497,0.90605,0.45292,0.24107,0.84671,0.0005545,0.0005545,0.0005545
47,6575.73,0.53617,0.3006,0.90884,0.99689,0.99307,0.99497,0.91012,0.44848,0.23743,0.84468,0.0005446,0.0005446,0.0005446
48,6710.94,0.52098,0.29103,0.90278,0.99655,0.98762,0.99466,0.90543,0.44887,0.23626,0.84076,0.0005347,0.0005347,0.0005347
49,6848.31,0.53363,0.29973,0.90629,0.99349,0.98762,0.99482,0.90626,0.46925,0.23842,0.84172,0.0005248,0.0005248,0.0005248
50,6986.71,0.52272,0.29129,0.90052,0.99569,0.98762,0.99473,0.91625,0.4413,0.23087,0.83895,0.0005149,0.0005149,0.0005149
51,7122.98,0.52929,0.28928,0.90591,0.99445,0.98762,0.99485,0.91015,0.44838,0.2282,0.84176,0.000505,0.000505,0.000505
52,7258.94,0.52756,0.28303,0.90342,0.99687,0.9871,0.99479,0.9148,0.44372,0.22655,0.83903,0.0004951,0.0004951,0.0004951
53,7394.66,0.52077,0.28677,0.90377,0.99687,0.9874,0.99327,0.91292,0.44816,0.23309,0.84168,0.0004852,0.0004852,0.0004852
54,7531.13,0.52464,0.28389,0.90187,1,0.98755,0.99494,0.91694,0.43932,0.21843,0.8349,0.0004753,0.0004753,0.0004753
55,7669.37,0.51725,0.281,0.899,0.99642,0.98452,0.99481,0.91646,0.44645,0.22005,0.83985,0.0004654,0.0004654,0.0004654
56,7809.68,0.51754,0.27856,0.9056,0.99317,0.98452,0.99347,0.9185,0.44159,0.23363,0.84289,0.0004555,0.0004555,0.0004555
57,7981.8,0.51845,0.28252,0.90079,0.99711,0.98452,0.99482,0.91313,0.45029,0.22797,0.842,0.0004456,0.0004456,0.0004456
58,8146.83,0.51541,0.28087,0.89743,1,0.98705,0.99494,0.91469,0.4536,0.22585,0.84351,0.0004357,0.0004357,0.0004357
59,8285.3,0.51202,0.27409,0.89538,0.99867,0.98452,0.99488,0.91609,0.4366,0.22027,0.83837,0.0004258,0.0004258,0.0004258
60,8423.89,0.51027,0.27267,0.89663,0.99554,0.98452,0.99491,0.91172,0.44259,0.22645,0.83695,0.0004159,0.0004159,0.0004159
61,8588.87,0.50626,0.27601,0.89643,0.99379,0.9905,0.99494,0.90377,0.45517,0.22573,0.84158,0.000406,0.000406,0.000406
62,8728.79,0.49772,0.26785,0.89622,0.99933,0.98452,0.99491,0.91407,0.43728,0.2164,0.83513,0.0003961,0.0003961,0.0003961
63,8867.82,0.50782,0.26764,0.89695,0.99687,0.98749,0.99491,0.9137,0.45332,0.21583,0.83462,0.0003862,0.0003862,0.0003862
64,9006.73,0.49917,0.26689,0.89254,1,0.98726,0.99491,0.91018,0.43926,0.21703,0.83624,0.0003763,0.0003763,0.0003763
65,9145.19,0.49457,0.26001,0.88674,0.99688,0.99044,0.99497,0.91983,0.43627,0.21243,0.83331,0.0003664,0.0003664,0.0003664
66,9283.14,0.4925,0.25822,0.89285,1,0.99064,0.995,0.91678,0.44207,0.21369,0.83745,0.0003565,0.0003565,0.0003565
67,9421.7,0.49185,0.25981,0.89247,0.99963,0.98762,0.99479,0.91806,0.43449,0.22093,0.83334,0.0003466,0.0003466,0.0003466
68,9557.15,0.48133,0.25501,0.88695,0.99986,0.99071,0.995,0.91445,0.45221,0.21906,0.83555,0.0003367,0.0003367,0.0003367
69,9695.77,0.47605,0.25723,0.88996,0.99944,0.98762,0.99479,0.91698,0.4376,0.21422,0.84035,0.0003268,0.0003268,0.0003268
70,9833.14,0.48069,0.25509,0.89249,0.99667,0.99071,0.99497,0.92159,0.43146,0.21211,0.83356,0.0003169,0.0003169,0.0003169
71,9968.74,0.47772,0.25259,0.88185,0.99981,0.98762,0.99488,0.92246,0.44059,0.21679,0.83586,0.000307,0.000307,0.000307
72,10107.1,0.47419,0.25333,0.8831,0.99663,0.98762,0.99379,0.91929,0.43301,0.22476,0.83395,0.0002971,0.0002971,0.0002971
73,10244.6,0.47599,0.25092,0.88393,0.99894,0.98762,0.99494,0.9221,0.43004,0.20763,0.83339,0.0002872,0.0002872,0.0002872
74,10383.6,0.47148,0.25145,0.88422,0.9993,0.98762,0.99482,0.91867,0.43462,0.21044,0.83496,0.0002773,0.0002773,0.0002773
75,10522.2,0.46801,0.2475,0.88427,0.99984,0.98762,0.99247,0.91953,0.43569,0.22192,0.83513,0.0002674,0.0002674,0.0002674
76,10659.4,0.46247,0.24624,0.87754,0.99978,0.98762,0.99372,0.91543,0.4372,0.21829,0.83548,0.0002575,0.0002575,0.0002575
77,10794.2,0.47183,0.24873,0.88255,0.99652,0.98762,0.99464,0.92044,0.43021,0.20894,0.83493,0.0002476,0.0002476,0.0002476
78,10929.8,0.47176,0.24479,0.88817,0.99687,0.98725,0.99491,0.91999,0.43469,0.20848,0.83775,0.0002377,0.0002377,0.0002377
